,dates,MGVR_1,MGVR_2,MGVR_3,MGVR_4,MGVR_5,MGVR_6,MGVR_7,MGVR_8,MGVR_9,MGVR_10
1633,2020-08-24 11:21:04+00:00,229.31947899981762,243.53817418209388,286.82927099962245,278.643376934802,292.4738181188391,310.9112370812298,349.0587278078937,383.6511478676451,410.3671856406587,419.86595323781233
1634,2020-08-27 10:35:52+00:00,218.08433322724835,234.20527101244213,271.91200681417143,240.52683044054012,239.17881136338903,259.9540140795868,315.7560368226924,335.4562690258671,352.7416108262111,377.5581253650578
1635,2020-08-27 11:30:59+00:00,221.94013292148986,236.47728490468995,278.0826810358078,243.57810785419966,240.3208415584464,260.6807977644118,319.72662052909516,337.6661665422836,355.71501447105646,391.613765677545
1636,2020-08-28 11:02:40+00:00,,,,,,,,,,
1637,2020-08-29 11:21:01+00:00,229.145827989059,243.12678764776442,284.85371934846034,248.21599744145465,250.0337969029311,269.64133864679127,323.5787222349205,342.89662577887,362.7606291003572,396.0890074897211
1638,2020-09-03 11:21:03+00:00,224.94204268035497,238.0245784587787,279.01991280559287,259.6260158926358,251.17115655544364,282.6065894794707,328.2143868507502,345.06484449651964,381.75765574272157,402.345274750203
1639,2020-09-04 11:08:54+00:00,223.3789040329302,235.95169152409733,276.5446457031077,258.61028256989056,249.31762427940993,283.8820457553526,340.23676197399743,345.03760109158026,389.99097709485875,403.9024519265721
1640,2020-09-05 10:29:06+00:00,226.57216696403876,242.35836986191364,282.34799869946335,263.59791635282113,273.53334267880257,295.8788316334889,344.91379791017613,377.0312172808445,397.6797421203558,410.73061158250914
1641,2020-09-06 11:30:58+00:00,224.29904204889988,240.53120046175934,279.6637746924133,262.14628805541423,258.6346683246746,286.37794363660583,341.4724580944766,370.88674190671054,392.2549535505888,417.701769037743
1642,2020-09-08 11:21:01+00:00,238.1712059653969,252.93099878339035,294.30064206604834,276.6509491472428,281.5196775985907,303.83228331908066,350.43025769048813,385.59074011779296,407.4136482569037,439.16872945435625
1643,2020-09-13 11:02:47+00:00,,,,,,,,,,
1644,2020-09-20 11:09:00+00:00,,257.78795713274644,,,,,,361.5938621854625,375.3327157152906,381.6356955205956
1645,2020-09-21 10:28:02+00:00,,,,,,,,,,
1646,2020-09-21 11:30:56+00:00,247.61455115165285,267.459582020824,305.3239998144725,289.7658789519597,281.4176586834809,314.5409725732746,350.9637624767707,360.8702149973577,409.3436979587014,437.9756466326275
1647,2020-09-26 11:30:59+00:00,219.71424272427703,232.4262037079261,268.42570093610425,244.01012862589442,243.09039420500625,269.3172534977916,330.0366677498951,341.07068471918,356.72633606468315,399.5107453067172
1648,2020-09-28 10:33:46+00:00,218.97415758036936,235.81609228606092,275.4448140509312,247.16538871260036,242.326616851599,261.33401087547,326.4087793002515,338.2614258057774,351.5988108974348,397.8727815638502
1649,2020-09-28 11:21:01+00:00,220.73833886511517,232.24057310125926,273.8977040081191,242.47069248150692,247.81689148790036,268.5468809087809,331.06321819253833,341.3749432923881,359.0505286148397,405.5147254667271
1650,2020-09-29 11:02:51+00:00,,,,,,,,351.6238952427454,352.9465991241629,400.78776268864453
1651,2020-10-01 11:30:57+00:00,235.968074282188,249.90240845728476,290.8040469294674,263.5150560425518,257.0402417539252,280.89482255559784,334.1094262364062,347.8800496988426,382.76600481497303,407.2645605601742
1652,2020-10-03 11:21:04+00:00,239.03599646648567,253.11140462752664,294.3170957929357,272.0615890120489,268.18326637222435,301.34900050928326,344.4246254032357,357.39802026596215,393.45217229349055,413.37067947002146
1653,2020-10-06 11:31:00+00:00,236.10112119452924,249.9989644914674,292.5029629633051,271.2196111018519,284.6374832386573,305.927050195576,355.12099529549596,360.6720458992807,397.7211662962168,434.2394792037262
